id;name;producer;category;subcategory;amount;status;fillLevel;flavorTags;usageTags;styleTags;guestTags;originTags;descriptionShort;tastingNotes;bestUse;serving;sourceStatus;notes
csv-011-old-town-decanter-bitters;Old Town Decanter Bitters;The Bitter Truth;Bitters;Bitters;1 Flasche;Ungeöffnet;100%;Bitter | Fruchtig | Zitrisch;Modifier;Cocktail Bitters | Aromatisch | Würzig;;Deutschland;Aromatische Bitters mit kräftiger Bitterkeit, Zitrus, getrockneten Früchten, Nelke, Zimt und dunkler Würze. Sie geben klassischen Drinks mehr Tiefe, Struktur und einen warmen Gewürzakzent.;Zitrus | getrocknete Früchte | Nelke | Zimt | Angosturarinde;Old Fashioned | Manhattan | Rum Old Fashioned | dunkle Stirred Drinks;"Sehr sparsam dosieren; ideal für kräftige Spirituosen, dunkle Drinks und Gewürznoten.";curated-existing-refined-v0.17;
csv-012-old-time-aromatic-bitters;Old Time Aromatic Bitters;The Bitter Truth;Bitters;Bitters;1 Flasche;Ungeöffnet;100%;Bitter | Kräuterig;Modifier;Cocktail Bitters | Aromatic | Klassisch;;Deutschland;Klassische aromatische Bitters mit warmer Würze und trockener Bitterkeit. Sie sind ein universeller Bar-Akzent für Old Fashioned, Manhattan und viele klassische Cocktails.;warme Gewürze | Kräuter | Bitterkeit | aromatische Tiefe;Old Fashioned | Manhattan | Cocktail-Klassiker;"Tropfenweise dosieren; als strukturierender Bitter-Akzent in klassischen Cocktails verwenden.";curated-existing-refined-v0.17;
csv-013-orange-bitters;Orange Bitters;The Bitter Truth;Bitters;Bitters;1 Flasche;Ungeöffnet;100%;Bitter | Zitrisch | Fruchtig;Modifier;Cocktail Bitters | Zitrisch | Klassisch;;Deutschland;Zitrische Bitters mit Orange, feiner Würze und trockener Bitterkeit. Sie hellen Martinis, Old Fashioneds, Gin-Drinks und spritzige Cocktails auf, ohne sie süßer zu machen.;Orange | Zitrusschale | Gewürze | trockene Bitterkeit;Martini | Old Fashioned | Gin-Cocktails | Spritz-Akzent;"In kleinen Mengen verwenden; besonders passend zu Gin, Whiskey, Rum und Vermouth-Drinks.";curated-v0.17;
csv-014-angobitter;Angobitter;Angostura;Bitters;Aromatic Bitters;1 Flasche;Unbekannt;100%;Bitter | Kräuterig;Modifier;Aromatic Bitters | Klassisch | Universal;;Trinidad und Tobago;Klassische aromatische Bitters mit konzentrierter Kräuter- und Gewürzwürze. Angostura ist ein universeller Cocktail-Akzent und bringt Struktur in Old Fashioned, Manhattan, Sours, Tiki-Drinks und Highballs.;Kräuter | Gewürze | Nelke | Zimt | bittere Tiefe;Old Fashioned | Manhattan | Sours | Tiki-Drinks;"Nur wenige Dashes verwenden; Angostura wirkt intensiv und strukturiert Drinks schon in kleiner Menge.";curated-v0.17;
csv-015-1866-brandy-de-jerez-solero-grand-reserv;1866 Brandy De Jerez Solero Grand Reserva;Sánchez Romate;Cognac / Brandy;Brandy de Jerez;1 Flasche;Geöffnet;100%;Fruchtig | Süß | Trocken | Nussig;Pur | Digestif | Spirit-Forward;Brandy;;Spanien;Eleganter Brandy de Jerez aus Spanien mit reifer Frucht, Vanille, Rosine, Holz und nussiger Sherry-Fass-Tiefe. Rund, warm und besonders passend als Digestif oder für klassische Brandy-Drinks.;Rosine | Vanille | Trockenfrucht | Eiche | Nuss;Pur als Digestif | Brandy Alexander | Sidecar-Twist;Pur im Nosing-Glas oder als hochwertige Brandy-Basis in klassischen Drinks.;curated-repaired;
csv-016-cognac-vsop;Prince Hubert de Polignac VSOP Cognac;Prince Hubert de Polignac;Cognac / Brandy;Cognac;1 Flasche;Geöffnet;100%;Fruchtig | Süß | Trocken;Pur | Digestif | Spirit-Forward | Cocktailbasis;Cognac | Brandy;;Frankreich;Französischer VSOP Cognac mit weicher Frucht, Vanille, etwas Eiche und warmer Würze. Zugänglich genug für Sidecar und Brandy-Cocktails, aber auch sauber als Digestif zu trinken.;Vanille | Traube | Eiche | Gewürz | Trockenfrucht;Sidecar | Brandy Crusta | Pur als Digestif;Pur bei Zimmertemperatur oder als Cognac-Basis in klassischen Sours.;curated-repaired;
csv-017-kastaniengeist;Kastaniengeist;Willi Peter;Edelbrand / Geist;Geist;1 Flasche;Geöffnet;100%;Nussig | Trocken;Digestif;Edelbrand / Geist;;;Kastaniengeist ist als Edelbrand / Geist / Geist eingeordnet. Geschmack: Nussig, Trocken. Nutzung: Digestif.;;;;curated-existing;
csv-018-edles-fass-nussler-aus-wallnussen;Edles Fass Nussler aus Wallnüssen;Scheibel;Edelbrand / Geist;Geist;1 Flasche;Unbekannt;100%;Nussig | Trocken;Digestif;Edelbrand / Geist | Nut Liqueur;;;Edles Fass Nussler aus Wallnüssen ist als Edelbrand / Geist / Geist eingeordnet. Geschmack: Nussig, Trocken. Nutzung: Digestif.;;;;curated-existing;
csv-019-walnussgeist;Walnussgeist;Liebl;Edelbrand / Geist;Geist;1 Flasche;Unbekannt;100%;Nussig | Trocken;Digestif;Edelbrand / Geist | Nut Liqueur;;;Walnussgeist ist als Edelbrand / Geist / Geist eingeordnet. Geschmack: Nussig, Trocken. Nutzung: Digestif.;;;;curated-existing;
csv-020-pistaziengeist;Pistaziengeist;Nustler;Edelbrand / Geist;Geist;1 Flasche;Geöffnet;100%;Nussig | Trocken;Digestif;Edelbrand / Geist | Nut Liqueur;;;Pistaziengeist ist als Edelbrand / Geist / Geist eingeordnet. Geschmack: Nussig, Trocken. Nutzung: Digestif.;;;;curated-existing;
csv-021-haselnuss;Haselnuss;Prinz;Edelbrand / Geist;Prinz Alte Sorte;1 Flasche;Unbekannt;100%;Nussig | Trocken;Digestif;Edelbrand / Geist | Nut Liqueur;;;Haselnuss ist als Edelbrand / Geist / Prinz Alte Sorte eingeordnet. Geschmack: Nussig, Trocken. Nutzung: Digestif.;;;;curated-existing;
csv-022-hauszwetschke;Hauszwetschke;Prinz;Edelbrand / Geist;Prinz Alte Sorte;1 Flasche;Unbekannt;100%;Trocken;Digestif;Edelbrand / Geist;;;Hauszwetschke ist als Edelbrand / Geist / Prinz Alte Sorte eingeordnet. Geschmack: Trocken. Nutzung: Digestif.;;;;curated-existing;
csv-023-kirsche;Kirsche;Prinz;Edelbrand / Geist;Prinz Alte Sorte;1 Flasche;Unbekannt;100%;Fruchtig | Trocken;Digestif;Edelbrand / Geist;;;Kirsche ist als Edelbrand / Geist / Prinz Alte Sorte eingeordnet. Geschmack: Fruchtig, Trocken. Nutzung: Digestif.;;;;curated-existing;
csv-024-marille;Marille;Prinz;Edelbrand / Geist;Prinz Alte Sorte;1 Flasche;Unbekannt;100%;Fruchtig | Trocken;Digestif;Edelbrand / Geist;;;Marille ist als Edelbrand / Geist / Prinz Alte Sorte eingeordnet. Geschmack: Fruchtig, Trocken. Nutzung: Digestif.;;;;curated-existing;
csv-025-alte-waldhimbeere;Alte Waldhimbeere;Prinz;Edelbrand / Geist;Prinz Alte Sorte;1 Flasche;Unbekannt;100%;Fruchtig | Trocken;Digestif;Edelbrand / Geist;;;Alte Waldhimbeere ist als Edelbrand / Geist / Prinz Alte Sorte eingeordnet. Geschmack: Fruchtig, Trocken. Nutzung: Digestif.;;;;curated-existing;
csv-026-alte-williams-christ-birne;Alte Williams-Christ-Birne;Prinz;Edelbrand / Geist;Prinz Alte Sorte;1 Flasche;Unbekannt;100%;Fruchtig | Trocken;Digestif;Edelbrand / Geist;;;Alte Williams-Christ-Birne ist als Edelbrand / Geist / Prinz Alte Sorte eingeordnet. Geschmack: Fruchtig, Trocken. Nutzung: Digestif.;;;;curated-existing;
csv-027-alter-bodensee-apfel;Alter Bodensee-Apfel;Prinz;Edelbrand / Geist;Prinz Alte Sorte;1 Flasche;Unbekannt;100%;Fruchtig | Trocken;Digestif;Edelbrand / Geist;;;Alter Bodensee-Apfel ist als Edelbrand / Geist / Prinz Alte Sorte eingeordnet. Geschmack: Fruchtig, Trocken. Nutzung: Digestif.;;;;curated-existing;
csv-028-spatburgunder-trester;Spätburgunder Trester;;Edelbrand / Geist;Grappa;1 Flasche;Geöffnet;100%;Trocken;Digestif;Edelbrand / Geist;;;6 Jahre im Barrique gereift;;;;curated-existing;
csv-029-maraschino-cherries;Maraschino Cherries;Starlino;Garnish;Cocktailkirschen;1 Flasche;Geöffnet;100%;Süß | Fruchtig;Modifier;Garnish;;;Maraschino Cherries ist als Garnish / Cocktailkirschen eingeordnet. Geschmack: Süß, Fruchtig. Nutzung: Modifier.;;;;curated-existing;
csv-030-sapphire-premier-cru;Sapphire Premier Cru;Bombay Sapphire;Gin;Citrus London Dry Gin;1 Flasche;Unbekannt;100%;Trocken | Zitrisch | Fruchtig | Kräuterig;Cocktailbasis;Gin | London Dry | Citrus Gin;;England | Murcia;Zitrusbetonter London Dry Gin mit Murcian-Zitrone, Mandarine und süßer Orange. Frisch, klar und elegant für Gin & Tonic, Martini-Varianten oder einen French 75.;Trocken | Zitrisch | Wacholder | Fruchtig | Kräuterig;Gin & Tonic | Martini | French 75 | Highball | Cocktailbasis;"Mit viel Eis und einem trockenen Tonic servieren; für Cocktails besonders schön in Martini-Varianten oder einem French 75.";internet-informed-curated;
csv-031-fifty-pounds-gin;Fifty Pounds Gin;Fifty Pounds Gin;Gin;London Dry Gin;1 Flasche;Unbekannt;100%;Trocken | Kräuterig | Zitrisch;Cocktailbasis;Gin | London Dry | Klassisch;;England | London;Klassischer London Dry Gin mit trockenem Wacholderprofil, Zitrus und feiner Würze. Eine geradlinige, elegante Basis für Gin & Tonic, Martini und Negroni.;Trocken | Wacholder | Kräuterig | Zitrisch | Würzig;Gin & Tonic | Martini | Negroni | Cocktailbasis;"Sehr gut mit trockenem Tonic und Zitronenzeste; für klassische Drinks wie Martini oder Negroni verwenden.";internet-informed-curated;
csv-032-hendrick-s-gin;Hendrick’s Gin;Hendrick's;Gin;Scottish Botanical Gin;1 Flasche;Geöffnet;100%;Floral | Zitrisch | Kräuterig;Cocktailbasis;Gin | Botanical Gin | Floral;;Schottland;Floraler schottischer Gin mit der typischen Hendrick’s-Signatur aus Gurke und Rose. Weich, frisch und besonders charmant in Gin & Tonic oder Collins-Drinks.;Floral | Gurke | Rose | Wacholder | Zitrisch | Kräuterig;Gin & Tonic | Collins | Highball | Cocktailbasis;"Mit Tonic, viel Eis und Gurkenscheibe servieren; auch passend für leichte Collins-Varianten.";internet-informed-curated;
csv-033-kyro-gin;Kyrö Gin;Kyrö Distillery;Gin;Finnish Rye Gin;1 Flasche;Unbekannt;100%;Trocken | Kräuterig | Zitrisch;Cocktailbasis;Gin | Nordic Gin | Rye Gin;;Finnland;Finnischer Rye Gin mit Roggenbasis und nordischen Wildkräutern. Kräuterig, frisch und leicht würzig – sehr schön für aromatische Gin & Tonics.;Trocken | Kräuterig | Würzig | Zitrisch | Wacholder;Gin & Tonic | Highball | Cocktailbasis;Mit trockenem Tonic, viel Eis, Cranberries und einem Zweig Rosmarin servieren.;internet-informed-curated;
csv-034-le-tribute-gin;Le Tribute Gin;MG Destilerías;Gin;Mediterranean Citrus Gin;1 Flasche;Unbekannt;100%;Trocken | Zitrisch | Kräuterig;Cocktailbasis;Gin | Mediterran | Citrus Gin;;Spanien;Mediterraner Gin mit markanter Zitrusfrische, Lemongrass, Wacholder und mediterranen Früchten. Klar, trocken und ideal für elegante Gin & Tonics.;Trocken | Zitrisch | Wacholder | Frisch | Kräuterig;Gin & Tonic | Highball | Fizz | Cocktailbasis;"Mit Premium-Tonic, viel Eis und einer Zitruszeste servieren; auch passend für frische Fizz-Varianten.";internet-informed-curated;
csv-035-needle-gin;Needle Gin;Bimmerle / Needle;Gin;Black Forest Dry Gin;1 Flasche;Unbekannt;100%;Trocken | Kräuterig;Cocktailbasis;Gin | Dry Gin | Herbal Gin;;Deutschland | Schwarzwald;Schwarzwald Dry Gin mit Wacholder und Fichtennadeln. Trocken, kräuterig und harzig-frisch – ein guter Kandidat für herbe Gin & Tonics.;Trocken | Wacholder | Kräuterig | Harzig | Würzig;Gin & Tonic | Highball | Cocktailbasis;Mit trockenem Tonic und Grapefruit- oder Zitronenzeste servieren.;internet-informed-curated;
csv-036-no-3-london-dry-gin;No.3 London Dry Gin;Berry Bros. & Rudd;Gin;London Dry Gin;1 Flasche;Unbekannt;100%;Trocken | Zitrisch | Kräuterig;Cocktailbasis;Gin | London Dry | Klassisch;;England | Niederlande;Geradliniger London Dry Gin mit Wacholder, Zitrus und Gewürzstruktur. Präzise, trocken und besonders stark in Martini, Gin & Tonic und klassischen Gin-Cocktails.;Trocken | Wacholder | Zitrisch | Würzig | Kräuterig;Martini | Gin & Tonic | Negroni | Cocktailbasis;"Für einen klaren Martini gut kühlen; im Gin & Tonic mit neutralem Tonic und Zitronenzeste servieren.";internet-informed-curated;
csv-037-roku-japanese-craft-gin;Roku Japanese Craft Gin;House of Suntory;Gin;Japanese Craft Gin;1 Flasche;Unbekannt;100%;Trocken | Zitrisch | Floral;Cocktailbasis;Gin | Japanese Gin | Botanical Gin;;Japan;Japanischer Craft Gin mit sechs japanischen Botanicals wie Sakura, Tee, Sansho und Yuzu. Ausbalanciert, feinwürzig und elegant frisch.;Trocken | Zitrisch | Floral | Tee | Würzig | Wacholder;Gin & Tonic | Highball | Fizz | Cocktailbasis;"Mit Tonic und einer dünnen Ingwer- oder Zitruszeste servieren; auch schön in leichten Highballs.";internet-informed-curated;
csv-038-tanqueray-london-dry-gin;Tanqueray London Dry Gin;Tanqueray;Gin;London Dry Gin;2 Flaschen;Unbekannt;100%;Trocken | Zitrisch | Kräuterig;Cocktailbasis;Gin | London Dry | Klassisch;;Schottland | England;Klassischer London Dry Gin mit trockenem Wacholder, leichter Zitrusfrische und klarer Struktur. Vielseitig für Gin & Tonic, Martini und Negroni.;Trocken | Wacholder | Zitrisch | Kräuterig | Würzig;Gin & Tonic | Martini | Negroni | Cocktailbasis;"Mit trockenem Tonic, viel Eis und Limettenspalte servieren; für klassische Gin-Cocktails universell einsetzbar.";internet-informed-curated;
csv-039-tanqueray-no-ten;Tanqueray No. Ten;Tanqueray;Gin;Citrus Gin;1 Flasche;Unbekannt;100%;Trocken | Zitrisch | Floral;Cocktailbasis;Gin | Citrus Gin | Premium Gin;;Schottland | England;Zitrusbetonter Premium-Gin mit Grapefruit, Orange, Limette, Wacholder und Kamille. Sehr elegant für Martini, Gimlet, White Lady und feine Gin & Tonics.;Trocken | Zitrisch | Grapefruit | Wacholder | Floral;Martini | Gin & Tonic | White Lady | Gimlet | Cocktailbasis;Gut gekühlt in Martinis oder mit trockenem Tonic und Grapefruitzeste servieren.;internet-informed-curated;
csv-040-ukiyo-blossom-gin;Ukiyo Blossom Gin;Ukiyo Spirits;Gin;Japanese Blossom Gin;1 Flasche;Unbekannt;100%;Floral | Zitrisch;Spritz | Cocktailbasis;Gin | Japanese Gin | Floral;;Japan;Floraler japanischer Gin mit Sakura-Blüte und Sakura-Blatt. Zart, frisch und leicht parfümiert – schön für elegante Gin & Tonics und leichte Highballs.;Floral | Sakura | Zitrisch | Wacholder | Frisch;Gin & Tonic | Highball | Spritz | Cocktailbasis;"Mit Premium-Tonic und einer dezenten Zitruszeste servieren; nicht zu stark übergarnieren.";internet-informed-curated;
csv-041-ukiyo-nashi-pear-gin;Ukiyo Nashi Pear Gin;Ukiyo Spirits;Gin;Japanese Nashi Pear Gin;1 Flasche;Unbekannt;100%;Fruchtig | Zitrisch | Floral;Cocktailbasis;Gin | Japanese Gin | Fruit-forward Gin;;Japan;Japanischer Gin mit frischer Nashi-Birne, feiner Frucht und leichter floraler Frische. Zugänglich, saftig und gut für helle, frische Highballs.;Fruchtig | Birne | Zitrisch | Floral | Wacholder;Gin & Tonic | Highball | Fizz | Cocktailbasis;"Mit Tonic oder Soda und einer Birnen- oder Zitronenzeste servieren; auch passend für fruchtige Gin-Fizzes.";internet-informed-curated;
csv-042-ukiyo-tokyo-dry-gin;Ukiyo Tokyo Dry Gin;Ukiyo Spirits;Gin;Tokyo Dry Gin;1 Flasche;Unbekannt;100%;Trocken | Zitrisch | Kräuterig;Cocktailbasis;Gin | Japanese Gin | Dry Gin;;Japan | Chiba;Trockener japanischer Gin mit Yuzu, Mikan, Sakura und Sansho. Klar, würzig und zitrisch – eine gute japanische Basis für G&T, Martini und Highballs.;Trocken | Wacholder | Zitrisch | Kräuterig | Würzig;Gin & Tonic | Martini | Highball | Cocktailbasis;"Mit trockenem Tonic und Yuzu- oder Zitronenzeste servieren; für einen trockenen Martini gut kühlen.";internet-informed-curated;
csv-043-ukiyo-yuzu-gin;Ukiyo Yuzu Gin;Ukiyo Spirits;Gin;Japanese Yuzu Gin;1 Flasche;Unbekannt;100%;Zitrisch | Kräuterig;Cocktailbasis;Gin | Japanese Gin | Citrus Gin;;Japan;Japanischer Yuzu Gin mit klarer Zitrusfrische, feiner Bitterkeit und kräuterigen Noten. Hell, lebendig und ideal für erfrischende Highballs.;Zitrisch | Yuzu | Wacholder | Kräuterig | Frisch;Gin & Tonic | Highball | Fizz | Cocktailbasis;"Mit Tonic oder Soda, viel Eis und einer Zitruszeste servieren; sehr passend für spritzige Sommerdrinks.";internet-informed-curated;
csv-044-ungava-canadian-premium-gin;Ungava Canadian Premium Gin;Ungava Spirits;Gin;Canadian Arctic Gin;1 Flasche;Geöffnet;100%;Kräuterig | Fruchtig | Floral;Cocktailbasis;Gin | Canadian Gin | Botanical Gin;;Kanada | Québec;Kanadischer Gin mit arktischen Botanicals aus Nord-Québec. Kräuterig, wildfruchtig und floral mit markanter natürlicher Farbe und eigenständigem Charakter.;Kräuterig | Wacholder | Fruchtig | Floral | Würzig;Gin & Tonic | Highball | Cocktailbasis;"Mit trockenem Tonic und einer Grapefruit- oder Zitronenzeste servieren; für einfache Highballs bewusst schlank halten.";internet-informed-curated;
csv-045-amarula;Amarula;Amarula;Likör;Cream Liqueur;1 Flasche;Unbekannt;100%;Süß;Modifier | Digestif;Liqueur | Cream Liqueur;;;Amarula ist als Likör / Cream Liqueur eingeordnet. Geschmack: Süß. Nutzung: Modifier, Digestif.;;;;curated-existing;
csv-046-baileys;Baileys;Diageo;Likör;Cream Liqueur;1 Flasche;Unbekannt;100%;Süß;Modifier | Digestif;Liqueur | Cream Liqueur;;;Baileys ist als Likör / Cream Liqueur eingeordnet. Geschmack: Süß. Nutzung: Modifier, Digestif.;;;;curated-existing;
csv-047-batida-de-coco;Batida de Coco;Mangaroca;Likör;Kokos;1 Flasche;Unbekannt;100%;Süß;Modifier | Digestif | Tiki & Tropical;Liqueur | Tropical Modifier;;;Batida de Coco ist als Likör / Kokos eingeordnet. Geschmack: Süß. Nutzung: Modifier, Digestif, Tiki & Tropical.;;;;curated-existing;
csv-048-apricot-brandy;Bols Apricot Brandy;Bols;Likör;Fruchtlikör;1 Flasche;Unbekannt;100%;Fruchtig | Süß;Modifier | Cocktailbasis | Frisch & Sour;Likör | Fruchtlikör;;Niederlande;Aprikosenlikör von Bols mit klarer Steinfrucht, süßer Fruchtfülle und leichter Mandel-Anmutung. Ein klassischer Modifier für Sours, Tropical-Drinks und fruchtige Cocktail-Twists.;Aprikose | Steinfrucht | Mandel | Süße;Apricot Sour | Mai Tai Twist | Fruchtige Sours;In kleinen Mengen als fruchtiger Modifier oder als Süße- und Fruchtbaustein in Sours.;curated-repaired;
csv-049-cherry-brandy;Bols Cherry Brandy;Bols;Likör;Fruchtlikör;1 Flasche;Unbekannt;100%;Fruchtig | Süß;Modifier | Cocktailbasis | Frisch & Sour;Likör | Fruchtlikör;;Niederlande;Kirschlikör von Bols mit süßer Kirsche, roter Frucht und leichter Mandel-Würze. Gut als Modifier für Singapore-Sling-ähnliche Drinks, Sours und dunkle Fruchtakzente.;Kirsche | Rote Frucht | Mandel | Süße;Singapore Sling Twist | Cherry Sour | Fruchtige Highballs;Sparsam dosieren, wenn ein Drink rote Frucht und süße Kirsch-Tiefe bekommen soll.;curated-repaired;
csv-050-creme-de-cacao-brown;Crème de Cacao Brown;Bols;Likör;Kakao;1 Flasche;Unbekannt;100%;Süß;Modifier | Digestif;Liqueur | Chocolate Liqueur;;;Crème de Cacao Brown ist als Likör / Kakao eingeordnet. Geschmack: Süß. Nutzung: Modifier, Digestif.;;;;curated-existing;
